,Song,Artist,Weeks On #1,Weeks On Chart,Peak Rank
487,Somebody To Love,Jordan Smith,0,2,21
488,Rockin' Around The Christmas Tree,Brenda Lee,0,27,9
489,Hands To Myself,Selena Gomez,0,20,7
490,Dessert,Dawin,0,11,68
491,Backroad Song,Granger Smith,0,16,49
492,Random,G-Eazy,0,0,94
493,Drifting,G-Eazy Featuring Chris Brown & Tory Lanez,0,0,98
494,Mary Did You Know,Jordan Smith,0,0,24
495,Back To Sleep,Chris Brown,0,20,20
496,You Should Be Here,Cole Swindell,0,20,31
497,Climb Every Mountain,Jordan Smith,0,0,72
498,Good To Be Alive (Hallelujah),Andy Grammer,0,10,62
499,God Only Knows,Jordan Smith & Adam Levine,0,0,90
500,Sorry Not Sorry,Demi Lovato,0,36,6
501,Hollow,Tori Kelly,0,11,68
502,The Christmas Song (Merry Christmas To You),Nat King Cole,0,17,11
503,Jingle Bell Rock,Bobby Helms,0,25,8
504,Zero,Chris Brown,0,2,80
505,Little More (Royalty),Chris Brown,0,0,91
506,Really Really,Kevin Gates,0,26,46
507,Let It Go,James Bay,0,34,16
508,Stick Talk,Future,0,2,91
509,Get Ugly,Jason Derulo,0,12,52
510,Watch Out,2 Chainz,0,11,64
511,Mr. Misunderstood,Eric Church,0,5,84
512,Break On Me.,Keith Urban,0,12,54
513,Confession,Florida Georgia Line,0,20,53
514,Out Of The Woods,Taylor Swift,0,10,44
515,Heartbeat,Carrie Underwood,0,14,42
516,Oui,Jeremih,0,27,19
517,2 Phones,Kevin Gates,0,25,17
518,Nobody To Blame,Chris Stapleton,0,15,68
519,Lazarus,David Bowie,0,0,40
520,Space Oddity,David Bowie,0,15,42
521,Under Pressure,Queen & David Bowie,0,16,45
522,Blackstar,David Bowie,0,0,78
523,Drunk On Your Love,Brett Eldredge,0,15,35
524,Bang My Head,David Guetta Featuring Sia & Fetty Wap,0,6,76
525,I Took A Pill In Ibiza,Mike Posner,0,37,4
526,Walking On A Dream,Empire Of The Sun,0,5,65
527,Victorious,Panic! At The Disco,0,4,89
528,Death Of A Bachelor,Panic! At The Disco,0,0,92
529,Middle,DJ Snake Featuring Bipolar Sunshine,0,21,20
530,7 Years,Lukas Graham,0,36,2
531,Lean & Dabb,iLoveMemphis,0,0,98
532,Work,Rihanna Featuring Drake,9,36,1
533,Bake Sale,Wiz Khalifa Featuring Travi$ Scott,0,2,56
534,Something In The Way You Move,Ellie Goulding,0,10,43
535,I Like The Sound Of That,Rascal Flatts,0,16,52
536,My Church,Maren Morris,0,20,50
537,Country Nation,Brad Paisley,0,2,94
538,Humble And Kind,Tim McGraw,0,20,30
539,Bottom Of The Bottle,Curren$Y Featuring August Alsina & Lil Wayne,0,0,97
540,Somewhere On A Beach,Dierks Bentley,0,20,35
541,Snapback,Old Dominion,0,20,50
542,Pillowtalk,Zayn,0,24,1
543,Summer Sixteen,Drake,0,14,6
544,Hymn For The Weekend,Coldplay,0,23,25
545,We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,0,24,9
546,Youth,Troye Sivan,0,18,23
547,Needed Me,Rihanna,0,45,7
548,Jam,"Kevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx",0,0,97
549,Low Life,Future Featuring The Weeknd,0,35,18
550,Fly S**t Only,Future,0,0,67
551,Jimmy Choo,Fetty Wap,0,11,65
552,Ophelia,The Lumineers,0,12,66
553,Don't Let Me Down,The Chainsmokers Featuring Daya,0,52,3
554,Whisper,Chase Rice,0,0,94
555,Little Bit Of You,Chase Bryant,0,11,71
556,Make Me Like You,Gwen Stefani,0,5,54
557,All I Ask,Adele,0,0,77
558,Cheap Thrills,Sia Featuring Sean Paul,4,52,1
559,Never Forget You,Zara Larsson & MNEK,0,23,13
560,Might Be,DJ Luke Nasty,0,10,78
561,Think Of You,Chris Young Duet With Cassadee Pope,0,20,40
562,Promise,Kid Ink Featuring Fetty Wap,0,14,57
563,That Don't Sound Like You,Lee Brice,0,11,64
564,Lost Boy,Ruth B,0,22,24
565,Mind Reader,Dustin Lynch,0,16,57
566,Look At My Dab,Migos,0,0,87
567,The Sound Of Silence,Disturbed,0,20,42
568,Wild Things,Alessia Cara,0,20,50
569,Saved,Ty Dolla $ign Featuring E-40,0,9,81
570,Cut It,O.T. Genasis Featuring Young Dolph,0,20,35
571,Panda,Desiigner,2,40,1
572,Might Not,Belly Featuring The Weeknd,0,17,68
573,Piece By Piece,Kelly Clarkson,0,15,8
574,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,0,34,4
575,It's You,Zayn,0,0,59
576,Hello Friday,Flo Rida Featuring Jason Derulo,0,0,79
577,T-Shirt,Thomas Rhett,0,25,19
578,Til It Happens To You,Lady Gaga,0,0,95
579,Head Over Boots,Jon Pardi,0,24,51
580,No,Meghan Trainor,0,20,3
581,Came Here To Forget,Blake Shelton,0,19,36
582,Try Everything,Shakira,0,9,63
583,Untitled 02 l 06.23.2014.,Kendrick Lamar,0,0,79
584,American Country Love Song,Jake Owen,0,17,55
585,Untitled 07 l Levitate,Kendrick Lamar,0,0,90
586,Something New,Zendaya Featuring Chris Brown,0,3,92
587,Gotta Lotta,2 Chainz Featuring Lil Wayne,0,0,100
588,Dangerous Woman,Ariana Grande,0,21,8
589,Like I Would,Zayn,0,3,55
590,Ride,twenty one pilots,0,39,5
591,Light It Up,Major Lazer Featuring Nyla & Fuse ODG,0,20,57
592,Fast Car,Jonas Blue Featuring Dakota,0,5,98
593,Team,Iggy Azalea,0,8,42
594,Be Alright,Dean Lewis,0,13,40
595,Body,Loud Luxury Featuring Brando,0,18,62
596,Close,Rae Sremmurd & Travis Scott,0,20,14
597,Noise,Kenny Chesney,0,14,72
598,With Them,Young Thug,0,0,87
599,All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",0,20,27
600,"Huntin', Fishin' & Lovin' Every Day",Luke Bryan,0,20,37
601,Digits,Young Thug,0,0,93
602,Moolah,Young Greatness,0,9,85
603,New Level,A$AP Ferg Featuring Future,0,3,90
604,Uber Everywhere,MadeinTYO,0,20,51
605,Pop Style,Drake Featuring The Throne,0,20,16
606,One Dance,Drake Featuring WizKid & Kyla,10,36,1
607,Famous,Mason Ramsey,0,14,34
608,Father Stretch My Hands Pt. 1,Kanye West,0,23,37
609,Lights Come On,Jason Aldean,0,19,43
610,Pt. 2,Kanye West,0,3,54
611,Ultralight Beam,Kanye West,0,2,67
612,Wasted Time,Keith Urban,0,17,51
613,Kiss It Better,Rihanna,0,12,62
614,FML,Kanye West,0,0,84
615,Real Friends,Kanye West,0,0,92
616,Come And See Me,PARTYNEXTDOOR Featuring Drake,0,24,55
617,Never Be Like You,Flume Featuring Kai,0,26,20
618,Feedback,Kanye West,0,0,99
619,Record Year,Eric Church,0,20,44
620,Messin' Around,Pitbull Featuring Enrique Iglesias,0,8,64
621,Law,Yo Gotti Featuring E-40,0,9,79
622,Faded,Alan Walker,0,8,80
623,Ain't Your Mama,Jennifer Lopez,0,2,76
624,If It Ain't Love,Jason Derulo,0,8,67
625,Purple Rain,Prince And The Revolution,0,18,4
626,When Doves Cry,Prince,0,23,8
627,Kiss,Prince And The Revolution,0,20,23
628,Little Red Corvette,Prince,0,24,20
629,Let's Go Crazy,Prince And The Revolution,0,21,25
630,1999,Prince,0,30,27
631,Just Like Fire,P!nk,0,26,10
632,Wicked,Future,0,20,41
633,I Hate U I Love U,gnash Featuring Olivia O'Brien,0,39,10
634,You Don't Own Me,Grace Featuring G-Eazy,0,20,57
635,Let Me Love You,DJ Snake Featuring Justin Bieber,0,33,4
636,Formation,Beyonce,0,7,10
637,Hold Up,Beyonce,0,14,13
638,6 Inch,Beyonce Featuring The Weeknd,0,3,18
639,Don't Hurt Yourself,Beyonce Featuring Jack White,0,2,28
640,Raspberry Beret,Prince And The Revolution,0,18,33
641,Freedom,Beyonce Featuring Kendrick Lamar,0,2,35
642,Pray You Catch Me,Beyonce,0,2,37
643,All Night,Beyonce,0,2,38
644,I Would Die 4 U,Prince And The Revolution,0,16,39
645,Daddy Lessons,Beyonce,0,2,41
646,Sandcastles,Beyonce,0,2,43
647,Love Drought,Beyonce,0,2,47
648,Forward,Beyonce Featuring James Blake,0,0,63
649,Wake Up,Travis Scott,0,13,30
650,Go Flex,Post Malone,0,11,76
651,This Is What You Came For,Calvin Harris Featuring Rihanna,0,32,3
652,H.O.L.Y.,Florida Georgia Line,0,22,14
653,My Boo,Ghost Town DJ's,0,36,27
654,Hype,Drake,0,10,33
655,Controlla,Drake,0,26,16
656,Grammys,Drake Featuring Future,0,9,38
657,Still Here,Drake,0,10,40
658,U With Me?,Drake,0,4,44
659,9,Drake,0,5,45
660,With You,Drake Featuring PARTYNEXTDOOR,0,7,47
661,Childs Play,Drake,0,14,49
662,Too Good,Drake Featuring Rihanna,0,29,14
663,Feel No Ways,Drake,0,6,53
664,Weston Road Flows,Drake,0,2,54
665,Redemption,Drake,0,3,61
666,Don't Mind,Kent Jones,0,20,8
667,Keep The Family Close,Drake,0,2,68
668,Faithful,Drake Featuring Pimp C & dvsn,0,2,72
669,True Colors,Zedd & Kesha,0,2,48
670,Fire & Desire,Drake,0,4,75
671,Views,Drake,0,0,86
672,Can't Stop The Feeling!,Justin Timberlake,0,52,1
673,Go Ahead And Break My Heart,Blake Shelton Featuring Gwen Stefani,0,0,70
674,Into You,Ariana Grande,0,24,13
675,Church Bells,Carrie Underwood,0,17,43
676,Me Too,Meghan Trainor,0,20,13
677,Wherever I Go,OneRepublic,0,12,55
678,The Fighter,Keith Urban Featuring Carrie Underwood,0,23,38
679,No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,0,26,43
680,THat Part,ScHoolboy Q Featuring Kanye West,0,20,40
681,I'm Sorry,Adam Wakefield,0,0,94
682,Unsteady,X Ambassadors,0,34,20
683,Lonesome Broken And Blue,Adam Wakefield,0,0,73
684,Love On The Brain,Rihanna,0,31,5
685,From The Ground Up,Dan + Shay,0,16,48
686,Every Breath You Take,Hannah Huston,0,0,94
687,Gold,Kiiara,0,27,13
688,With You Tonight / Hasta El Amanecer,Nicky Jam,0,19,73
689,Down That Road,Alisan Porter,0,0,100
690,Kill Em With Kindness,Selena Gomez,0,15,39
691,Peter Pan,Kelsea Ballerini,0,20,35
692,Make You Miss Me,Sam Hunt,0,19,45
693,Different For Girls,Dierks Bentley Featuring Elle King,0,20,42
694,Fix,Chris Lane,0,12,65
695,"Sit Still, Look Pretty",Daya,0,24,28
696,For Free,DJ Khaled Featuring Drake,0,20,13
697,Treat You Better,Shawn Mendes,0,39,6
698,Nothing Is Promised,Mike WiLL Made-It x Rihanna,0,0,75
699,Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner",0,3,71
700,Broccoli,D.R.A.M. Featuring Lil Yachty,0,37,5
701,Sweatshirt,Jacob Sartorius,0,0,90
702,Money Longer,Lil Uzi Vert,0,22,54
703,My PYT,Wale,0,15,54
704,Toothbrush,DNCE,0,10,44
705,Heathens,twenty one pilots,0,39,2
706,Dark Necessities,Red Hot Chili Peppers,0,2,67
707,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,0,18,24
708,What The World Needs Now Is Love,Broadway For Orlando,0,0,86
709,Ain't No Stopping Us Now,Kane Brown,0,0,88
710,Why You Always Hatin?,YG Featuring Drake & Kamaiyah,0,18,62
711,Night's On Fire,David Nail,0,5,81
712,Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",0,22,15
713,I Got The Keys,DJ Khaled Featuring Jay Z & Future,0,17,30
714,No Limit,Usher Featuring Young Thug,0,29,4
715,She's Got A Way With Words,Blake Shelton,0,12,61
716,Luv,Tory Lanez,0,22,19
717,M.I.L.F. $,Fergie,0,3,34
718,Bored To Death,Blink-182,0,2,85
719,Brand New,Ben Rector,0,5,82
720,Lockjaw,French Montana Featuring Kodak Black,0,13,73
721,Flexicution,Logic,0,0,100
722,Love Make The World Go Round,Jennifer Lopez & Lin-Manuel Miranda,0,0,72
723,Duele El Corazon,Enrique Iglesias Featuring Wisin,0,8,82
724,You Was Right,Lil Uzi Vert,0,28,40
725,You & Me,Marc E. Bassy Featuring G-Eazy,0,16,58
726,La Bicicleta,Carlos Vives & Shakira,0,0,95
727,Lush Life,Zara Larsson,0,3,75
728,No Money,Galantis,0,5,88
729,Rise,Katy Perry,0,9,11
730,Make Me...,Britney Spears Featuring G-Eazy,0,9,17
731,Vice,Miranda Lambert,0,19,47
732,Girls Talk Boys,5 Seconds Of Summer,0,0,68
733,Mama Said,Lukas Graham,0,11,36
734,Body Say,Demi Lovato,0,0,84
735,No Shopping,French Montana Featuring Drake,0,11,36
736,A Little More Summertime,Jason Aldean,0,13,52
737,"Wat U Mean (Aye, Aye, Aye)",Dae Dae,0,17,66
738,Sex With Me,Rihanna,0,15,83
739,Cold Water,Major Lazer Featuring Justin Bieber & MO,0,27,2
740,Tiimmy Turner,Desiigner,0,20,34
741,Purple Lamborghini,Skrillex & Rick Ross,0,10,33
742,Hit Or Miss,Jacob Sartorius,0,2,72
743,Back On Road,Gucci Mane & Drake,0,0,81
744,1 Night,Lil Yachty,0,20,49
745,P**** Print,Gucci Mane Featuring Kanye West,0,0,89
746,This Girl,Kungs vs Cookin' On 3 Burners,0,14,26
747,It Don't Hurt Like It Used To,Billy Currington,0,17,44
748,Middle Of A Memory,Cole Swindell,0,20,46
749,Castaway,Zac Brown Band,0,2,96
750,Closer,The Chainsmokers Featuring Halsey,12,52,1
751,Setting The World On Fire,Kenny Chesney Featuring P!nk,0,20,29
752,Holy Key,"DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright",0,0,84
753,Starving,Hailee Steinfeld & Grey Featuring Zedd,0,29,12
754,Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,0,26,29
755,Gangsta,Kehlani,0,12,41
756,Bohemian Rhapsody,Queen,0,44,33
757,Cool Girl,Tove Lo,0,5,84
758,Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",0,20,27
759,You Look Like I Need A Drink,Justin Moore,0,8,79
760,Look Alive,Rae Sremmurd,0,25,5
761,Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,0,20,43
762,In The Name Of Love,Martin Garrix & Bebe Rexha,0,23,24
763,Wishing,"DJ Drama Featuring Chris Brown, Skeme & Lyquin",0,14,77
764,Rock On,Tucker Beathard,0,10,62
765,Nikes,Frank Ocean,0,0,79
766,Ivy,Frank Ocean,0,0,80
767,Pink + White,Frank Ocean,0,0,84
768,Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,0,20,50
769,Mercy,Shawn Mendes,0,32,15
770,Solo,Frank Ocean,0,13,58
771,Nights,Frank Ocean,0,0,98
772,I Met A Girl,William Michael Morgan,0,9,60
773,Move,Luke Bryan,0,14,50
774,Side To Side,Ariana Grande Featuring Nicki Minaj,0,28,4
775,May We All,Florida Georgia Line Featuring Tim McGraw,0,20,30
776,Grass Ain't Greener,Chris Brown,0,4,71
777,OOOUUU,Young M.A,0,20,19
778,Wyclef Jean,Young Thug,0,0,87
779,Scars To Your Beautiful,Alessia Cara,0,43,8
780,I Know Somebody,LOCASH,0,11,52
781,The Greatest,Sia Featuring Kendrick Lamar,0,23,18
782,Goosebumps,Travis Scott,0,34,32
783,Caroline,Amine,0,28,11
784,Fade,Kanye West,0,13,47
785,Perfect Illusion,Lady Gaga,0,6,15
786,Blue Ain't Your Color,Keith Urban,0,21,24
787,Deja Vu,Post Malone Featuring Justin Bieber,0,20,7
788,Sleep Without You,Brett Young,0,18,47
789,Black Beatles,Rae Sremmurd Featuring Gucci Mane,6,27,1
790,X,"ScHoolboy Q, 2 Chainz & Saudi",0,21,36
791,Forever Country,"Artists Of Then, Now & Forever",0,4,21
792,Starboy,The Weeknd Featuring Daft Punk,0,30,1
793,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,0,21,5
794,Key To The Streets,YFN Lucci Featuring Migos & Trouble,0,11,70
795,Cancer,twenty one pilots,0,0,91
796,This Town,Niall Horan,0,22,20
797,HandClap,Fitz And The Tantrums,0,20,53
798,Song For Another Time,Old Dominion,0,18,59
799,Capsize,Frenship & Emily Warren,0,10,78
800,CRZY,Kehlani,0,5,85
801,All We Know,The Chainsmokers Featuring Phoebe Ryan,0,16,18
802,False Alarm,The Weeknd,0,4,55
803,Cranes In The Sky,Solange,0,2,74
804,Don't Touch My Hair,Solange Featuring Sampha,0,0,91
805,LIFTED,CL,0,0,94
806,Fresh Eyes,Andy Grammer,0,18,59
807,Wanna Be That Song,Brett Eldredge,0,20,46
808,All Eyez,The Game Featuring Jeremih,0,5,79
809,24K Magic,Bruno Mars,0,41,4
810,Love Me Now,John Legend,0,19,23
811,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,0,27,6
812,Today,Brad Paisley,0,11,67
813,Million Reasons,Lady Gaga,0,20,4
814,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,0,4,77
815,All Time Low,Jon Bellion,0,22,16
816,Ain't My Fault,Zara Larsson,0,7,76
817,Kids,OneRepublic,0,0,96
818,Blow Your Mind (Mwah),Dua Lipa,0,0,72
819,Dirty Laundry,Carrie Underwood,0,16,48
820,Bad Things,Machine Gun Kelly x Camila Cabello,0,23,4
821,Alone,Marshmello,0,14,60
822,80s Mercedes,Maren Morris,0,13,74
823,My Sh*t,A Boogie Wit da Hoodie,0,12,86
824,How I'll Always Be,Tim McGraw,0,12,70
825,Fake Love,Drake,0,25,8
826,Sneakin',Drake Featuring 21 Savage,0,14,28
827,A-YO,Lady Gaga,0,0,66
828,Shout Out To My Ex,Little Mix,0,3,69
829,No Heart,21 Savage & Metro Boomin,0,19,43
830,Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis,0,4,95
831,What They Want,Russ,0,8,83
832,Say You Won't Let Go,James Arthur,0,52,11
833,Litty,Meek Mill Featuring Tory Lanez,0,4,49
834,Better Man,Little Big Town,0,20,34
835,Froze,Meek Mill Featuring Lil Uzi Vert & Nicki Minaj,0,0,68
836,Offended,Meek Mill Featuring Young Thug & 21 Savage,0,0,70
837,"Two Birds, One Stone",Drake,0,0,73
838,On The Regular,Meek Mill,0,0,75
839,The Difference,Meek Mill Featuring Quavo,0,0,84
840,Star Of The Show,Thomas Rhett,0,19,45
841,Blue Notes,Meek Mill,0,0,93
842,Chantaje,Shakira Featuring Maluma,0,18,51
843,Blessed Up,Meek Mill,0,0,97
844,Used To This,Future Featuring Drake,0,18,14
845,Bounce Back,Big Sean,0,28,6
846,Setting Fires,The Chainsmokers Featuring XYLO,0,2,71
847,Selfish,PnB Rock,0,19,37
848,Kill A Word,Eric Church Featuring Rhiannon Giddens,0,15,71
849,Me And Your Mama,Childish Gambino,0,2,68
850,Bad And Boujee,Migos Featuring Lil Uzi Vert,3,36,1
851,We The People....,A Tribe Called Quest,0,0,77
852,A Guy With A Girl,Blake Shelton,0,17,42
853,Call On Me,Starley,0,18,65
854,Party Monster,The Weeknd,0,19,16
855,I Feel It Coming,The Weeknd Featuring Daft Punk,0,26,4
856,Love On The Weekend,John Mayer,0,2,53
857,That's My Girl,Fifth Harmony,0,3,73
858,Redbone,Childish Gambino,0,44,12
859,That's What I Like,Bruno Mars,0,52,1
860,Slumber Party,Britney Spears Featuring Tinashe,0,0,86
861,Play That Song,Train,0,20,41
862,Infinite,Eminem,0,0,97
863,Versace On The Floor,Bruno Mars,0,14,33
864,Parachute,Chris Stapleton,0,5,78
865,Sidewalks,The Weeknd Featuring Kendrick Lamar,0,4,27
866,Reminder,The Weeknd,0,17,31
867,Six Feet Under,The Weeknd,0,4,34
868,Die For You,The Weeknd,0,3,43
869,Rockin',The Weeknd,0,2,44
870,All I Know,The Weeknd Featuring Future,0,2,46
871,Secrets,The Weeknd,0,2,47
872,How Far I'll Go,Auli'i Cravalho,0,20,41
873,Stargirl Interlude,The Weeknd Featuring Lana Del Rey,0,0,61
874,Attention,The Weeknd,0,40,5
875,Nothing Without You,The Weeknd,0,0,68
876,A Lonely Night,The Weeknd,0,0,69
877,Love To Lay,The Weeknd,0,0,71
878,Ordinary Life,The Weeknd,0,2,72
879,You're Welcome,Dwayne Johnson,0,13,65
880,Distraction,Kehlani,0,0,85
881,We Know The Way,Opetaia Foa'i & Lin-Manuel Miranda,0,2,93
882,Make Me (Cry),Noah Cyrus Featuring Labrinth,0,15,46
883,Black Barbies,Nicki Minaj X Mike WiLL Made-It,0,2,65
884,False Prophets,J. Cole,0,2,54
885,Dirt On My Boots,Jon Pardi,0,20,37
886,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,0,27,9
887,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,0,23,2
888,Immortal,J. Cole,0,5,11
889,Neighbors,J. Cole,0,6,13
890,Change,J. Cole,0,2,21
891,She's Mine Pt.1,J. Cole,0,2,22
892,For Whom The Bell Tolls,J. Cole,0,2,23
893,Ville Mentality,J. Cole,0,2,24
894,4 Your Eyez Only,J. Cole,0,0,29
895,Foldin Clothes,J. Cole,0,2,30
896,She's Mine Pt. 2,J. Cole,0,0,34
897,Just Hold On,Steve Aoki & Louis Tomlinson,0,6,52
898,Everybody Dies,J. Cole,0,0,57
899,Darlin' Don't Go,Sundance Head,0,0,67
900,Congratulations,Post Malone Featuring Quavo,0,50,8
901,At Last,Sundance Head,0,0,89
902,Both,Gucci Mane Featuring Drake,0,22,41
903,Feliz Navidad,Jose Feliciano,0,5,29
904,A Holly Jolly Christmas,Burl Ives,0,10,10
905,It's The Most Wonderful Time Of The Year,Andy Williams,0,10,10
906,Last Christmas,Wham!,0,9,25
907,Party,Chris Brown Featuring Usher & Gucci Mane,0,20,40
908,OTW,"Khalid, Ty Dolla $ign & 6LACK",0,18,57
909,Red Opps,21 Savage,0,5,74
910,Swang,Rae Sremmurd,0,26,26
911,Careless Whisper,Wham! Featuring George Michael,0,22,33
912,Faith,George Michael,0,21,47
913,Moves,Big Sean,0,19,38
914,Seein' Red,Dustin Lynch,0,9,55
915,iSpy,KYLE Featuring Lil Yachty,0,30,4
916,Think A Little Less,Michael Ray,0,16,54
917,No Flockin,Kodak Black,0,0,95
918,Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING,0,4,86
919,Way Down We Go,Kaleo,0,8,54
920,Hate U Love U,Olivia O'Brien,0,0,99
921,Shaky Shaky,Daddy Yankee,0,2,88
922,Sober Saturday Night,Chris Young Featuring Vince Gill,0,11,47
923,Beibs In The Trap,Travis Scott,0,3,90
924,I Got You,Bebe Rexha,0,11,43
925,The Weekend,SZA,0,25,33
926,Water,Ugly God,0,4,80
927,Shape Of You,Ed Sheeran,12,59,1
928,Castle On The Hill,Ed Sheeran,0,33,6
929,Location,Khalid,0,43,16
930,Drinkin' Too Much,Sam Hunt,0,0,89
931,If The Boot Fits,Granger Smith,0,3,80
932,Paris,The Chainsmokers,0,20,6
933,Not Afraid Anymore,Halsey,0,0,77
934,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,16,52,1
935,Not Nice,PARTYNEXTDOOR,0,7,82
936,Black,Dierks Bentley,0,19,56
937,Down,Marian Hill,0,17,21
938,Fast,Luke Bryan,0,13,58
939,Guys My Age,Hey Violet,0,5,68
940,Road Less Traveled,Lauren Alaina,0,12,67
941,Issues,Meek Mill,0,29,11
942,Good Drank,2 Chainz x Gucci Mane x Quavo,0,16,70
943,Any Ol' Barstool,Jason Aldean,0,18,52
944,Dancing On My Own,Calum Scott,0,2,93
945,Running Back,Wale Featuring Lil Wayne,0,0,100
946,Body Like A Back Road,Sam Hunt,0,41,6
947,Slippery,Migos Featuring Gucci Mane,0,21,29
948,Kelly Price,Migos Featuring Travis Scott,0,2,58
949,Call Casting,Migos,0,0,62
950,Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,0,0,66
951,I'm Better,Missy Elliott Featuring Lamb,0,0,71
952,Get Right Witcha,Migos,0,0,72
953,Scared To Be Lonely,Martin Garrix & Dua Lipa,0,14,76
954,Culture,Migos Featuring DJ Khaled,0,0,93
955,El Amante,Nicky Jam,0,15,92
956,Some Kind Of Drug,G-Eazy Featuring Marc E. Bassy,0,3,97
957,No Favors,Big Sean Featuring Eminem,0,3,22
958,Believer,Imagine Dragons,0,52,4
959,Bad Romance,Lady Gaga,0,35,50
960,My Old Man,Zac Brown Band,0,4,68
961,Sacrifices,Drake Featuring 2 Chainz & Young Thug,0,3,36
962,Halfway Off The Balcony,Big Sean,0,0,74
963,Jump Out The Window,Big Sean,0,0,76
964,Owe Me,Big Sean,0,0,86
965,Beauty And The Beast,Ariana Grande & John Legend,0,0,87
966,I Don't,Mariah Carey Featuring YG,0,0,89
967,Now & Later,Sage The Gemini,0,0,93
968,In Case You Didn't Know,Brett Young,0,28,19
969,Look At Me!,XXXTENTACION,0,20,34
970,Light,Big Sean Featuring Jeremih,0,0,97
971,Chained To The Rhythm,Katy Perry Featuring Skip Marley,0,15,4
972,Cold,Maroon 5 Featuring Future,0,20,16
973,Bom Bidi Bom,Nick Jonas & Nicki Minaj,0,0,54
974,Shining,DJ Khaled Featuring Beyonce & JAY Z,0,14,57
975,Helium,Sia,0,0,71
976,Heroe Favorito,Romeo Santos,0,0,77
977,Everything 1K,Kodak Black,0,0,84
978,Rolex,Ayo & Teo,0,25,20
979,Cash Me Outside (#CashMeOutside),DJ Suede The Remix God,0,3,72
980,It Ain't Me,Kygo x Selena Gomez,0,29,10
981,Yeah Boy,Kelsea Ballerini,0,13,65
982,Hurricane,Luke Combs,0,22,31
983,Tunnel Vision,Kodak Black,0,20,6
984,How Would You Feel (Paean),Ed Sheeran,0,2,41
985,Love,Lana Del Rey,0,2,44
986,Draco,Future,0,8,46
987,Mask Off,Future,0,31,5
988,Heavy,Linkin Park Featuring Kiiara,0,19,45
